"","id","date","tavg"
"165","RSM00028900",1990-06-14,205
"166","RSM00028900",1990-06-15,203
"167","RSM00028900",1990-06-16,209
"168","RSM00028900",1990-06-17,223
"169","RSM00028900",1990-06-18,210
"170","RSM00028900",1990-06-19,187
"171","RSM00028900",1990-06-20,185
"172","RSM00028900",1990-06-21,167
"173","RSM00028900",1990-06-22,173
"174","RSM00028900",1990-06-23,149
"175","RSM00028900",1990-06-24,145
"176","RSM00028900",1990-06-25,144
"177","RSM00028900",1990-06-26,164
"178","RSM00028900",1990-06-27,185
"179","RSM00028900",1990-06-28,169
"180","RSM00028900",1990-06-29,175
"181","RSM00028900",1990-06-30,193
"182","RSM00028900",1990-07-01,194
"183","RSM00028900",1990-07-02,194
"184","RSM00028900",1990-07-03,186
"185","RSM00028900",1990-07-04,178
"186","RSM00028900",1990-07-05,207
"187","RSM00028900",1990-07-06,241
"188","RSM00028900",1990-07-07,244
"189","RSM00028900",1990-07-08,248
"190","RSM00028900",1990-07-09,251
"191","RSM00028900",1990-07-10,253
"192","RSM00028900",1990-07-11,244
"193","RSM00028900",1990-07-12,213
"194","RSM00028900",1990-07-13,202
"195","RSM00028900",1990-07-14,178
"196","RSM00028900",1990-07-15,199
"197","RSM00028900",1990-07-16,220
"198","RSM00028900",1990-07-17,221
"199","RSM00028900",1990-07-18,204
"200","RSM00028900",1990-07-19,219
"201","RSM00028900",1990-07-20,226
"202","RSM00028900",1990-07-21,235
"203","RSM00028900",1990-07-22,218
"204","RSM00028900",1990-07-23,188
"205","RSM00028900",1990-07-24,193
"206","RSM00028900",1990-07-25,184
"207","RSM00028900",1990-07-26,163
"208","RSM00028900",1990-07-27,131
"209","RSM00028900",1990-07-28,146
"210","RSM00028900",1990-07-29,159
"211","RSM00028900",1990-07-30,161
"212","RSM00028900",1990-07-31,134
"213","RSM00028900",1990-08-01,137
"214","RSM00028900",1990-08-02,163
"215","RSM00028900",1990-08-03,177
"216","RSM00028900",1990-08-04,162
"217","RSM00028900",1990-08-05,169
"218","RSM00028900",1990-08-06,188
"219","RSM00028900",1990-08-07,206
"220","RSM00028900",1990-08-08,212
"221","RSM00028900",1990-08-09,214
"222","RSM00028900",1990-08-10,213
"223","RSM00028900",1990-08-11,192
"224","RSM00028900",1990-08-12,184
"225","RSM00028900",1990-08-13,194
"226","RSM00028900",1990-08-14,205
"227","RSM00028900",1990-08-15,202
"228","RSM00028900",1990-08-16,166
"229","RSM00028900",1990-08-17,175
"230","RSM00028900",1990-08-18,171
"231","RSM00028900",1990-08-19,162
"232","RSM00028900",1990-08-20,161
"233","RSM00028900",1990-08-21,183
"234","RSM00028900",1990-08-22,200
"235","RSM00028900",1990-08-23,194
"236","RSM00028900",1990-08-24,192
"237","RSM00028900",1990-08-25,164
"238","RSM00028900",1990-08-26,130
"239","RSM00028900",1990-08-27,133
"240","RSM00028900",1990-08-28,112
"241","RSM00028900",1990-08-29,110
"242","RSM00028900",1990-08-30,99
"243","RSM00028900",1990-08-31,90
"244","RSM00028900",1990-09-01,97
"245","RSM00028900",1990-09-02,95
"246","RSM00028900",1990-09-03,104
"247","RSM00028900",1990-09-04,112
"248","RSM00028900",1990-09-05,145
"249","RSM00028900",1990-09-06,159
"250","RSM00028900",1990-09-07,159
"251","RSM00028900",1990-09-08,152
"252","RSM00028900",1990-09-09,155
"253","RSM00028900",1990-09-10,123
"254","RSM00028900",1990-09-11,132
"255","RSM00028900",1990-09-12,127
"256","RSM00028900",1990-09-13,122
"257","RSM00028900",1990-09-14,118
"258","RSM00028900",1990-09-15,88
"259","RSM00028900",1990-09-16,95
"260","RSM00028900",1990-09-17,121
"261","RSM00028900",1990-09-18,136
"262","RSM00028900",1990-09-19,126
"263","RSM00028900",1990-09-20,117
"264","RSM00028900",1990-09-21,110
"265","RSM00028900",1990-09-22,130
"266","RSM00028900",1990-09-23,131
"267","RSM00028900",1990-09-24,119
"268","RSM00028900",1990-09-25,83
"269","RSM00028900",1990-09-26,144
"270","RSM00028900",1990-09-27,112
"271","RSM00028900",1990-09-28,84
"272","RSM00028900",1990-09-29,51
"273","RSM00028900",1990-09-30,81
"274","RSM00028900",1990-10-01,99
"275","RSM00028900",1990-10-02,84
"276","RSM00028900",1990-10-03,67
"277","RSM00028900",1990-10-04,25
"278","RSM00028900",1990-10-05,15
"279","RSM00028900",1990-10-06,28
"280","RSM00028900",1990-10-07,78
"281","RSM00028900",1990-10-08,94
"282","RSM00028900",1990-10-09,133
"283","RSM00028900",1990-10-10,101
"284","RSM00028900",1990-10-11,86
"285","RSM00028900",1990-10-12,86
"286","RSM00028900",1990-10-13,48
"287","RSM00028900",1990-10-14,2
"288","RSM00028900",1990-10-15,34
"289","RSM00028900",1990-10-16,60
"290","RSM00028900",1990-10-17,12
"291","RSM00028900",1990-10-18,32
"292","RSM00028900",1990-10-19,98
"293","RSM00028900",1990-10-20,41
"294","RSM00028900",1990-10-21,89
"295","RSM00028900",1990-10-22,103
"296","RSM00028900",1990-10-23,78
"297","RSM00028900",1990-10-24,12
"298","RSM00028900",1990-10-25,23
"299","RSM00028900",1990-10-26,-10
"300","RSM00028900",1990-10-27,-5
"301","RSM00028900",1990-10-28,-1
"302","RSM00028900",1990-10-29,15
"303","RSM00028900",1990-10-30,21
"304","RSM00028900",1990-10-31,0
"305","RSM00028900",1990-11-01,15
"306","RSM00028900",1990-11-02,-9
"307","RSM00028900",1990-11-03,-11
"308","RSM00028900",1990-11-04,4
"309","RSM00028900",1990-11-05,16
"310","RSM00028900",1990-11-06,80
"311","RSM00028900",1990-11-07,44
"312","RSM00028900",1990-11-08,9
"313","RSM00028900",1990-11-09,4
"314","RSM00028900",1990-11-10,-21
"315","RSM00028900",1990-11-11,-16
"316","RSM00028900",1990-11-12,-12
"317","RSM00028900",1990-11-13,-70
"318","RSM00028900",1990-11-14,-49
"319","RSM00028900",1990-11-15,-48
"320","RSM00028900",1990-11-16,-79
"321","RSM00028900",1990-11-17,-61
"322","RSM00028900",1990-11-18,23
"323","RSM00028900",1990-11-19,40
"324","RSM00028900",1990-11-20,22
"325","RSM00028900",1990-11-21,15
"326","RSM00028900",1990-11-22,35
"327","RSM00028900",1990-11-23,-12
"328","RSM00028900",1990-11-24,-50
"329","RSM00028900",1990-11-25,-73
"330","RSM00028900",1990-11-26,-92
"331","RSM00028900",1990-11-27,-70
"332","RSM00028900",1990-11-28,-21
"333","RSM00028900",1990-11-29,-15
"334","RSM00028900",1990-11-30,15
"335","RSM00028900",1990-12-01,6
"336","RSM00028900",1990-12-02,1
"337","RSM00028900",1990-12-03,-31
"338","RSM00028900",1990-12-04,-9
"339","RSM00028900",1990-12-05,-9
"340","RSM00028900",1990-12-06,-21
"341","RSM00028900",1990-12-07,-14
"342","RSM00028900",1990-12-08,-25
"343","RSM00028900",1990-12-09,-41
"344","RSM00028900",1990-12-10,-61
"345","RSM00028900",1990-12-11,-60
"346","RSM00028900",1990-12-12,-80
"347","RSM00028900",1990-12-13,-69
"348","RSM00028900",1990-12-14,-104
"349","RSM00028900",1990-12-15,-93
"350","RSM00028900",1990-12-16,-57
"351","RSM00028900",1990-12-17,-53
"352","RSM00028900",1990-12-18,-128
"353","RSM00028900",1990-12-19,-124
"354","RSM00028900",1990-12-20,-137
"355","RSM00028900",1990-12-21,-116
"356","RSM00028900",1990-12-22,-143
"357","RSM00028900",1990-12-23,-154
"358","RSM00028900",1990-12-24,-102
"359","RSM00028900",1990-12-25,-94
"360","RSM00028900",1990-12-26,-112
"361","RSM00028900",1990-12-27,-90
"362","RSM00028900",1990-12-28,-109
"363","RSM00028900",1990-12-29,-72
"364","RSM00028900",1990-12-30,-48
"365","RSM00028900",1990-12-31,-12
"366","RSM00028900",1991-01-01,-15
"367","RSM00028900",1991-01-02,-34
"368","RSM00028900",1991-01-03,-87
"369","RSM00028900",1991-01-04,-88
"370","RSM00028900",1991-01-05,-110
"371","RSM00028900",1991-01-06,-164
"372","RSM00028900",1991-01-07,-131
"373","RSM00028900",1991-01-08,-67
"374","RSM00028900",1991-01-09,-27
"375","RSM00028900",1991-01-10,-1
"376","RSM00028900",1991-01-11,6
"377","RSM00028900",1991-01-12,11
"378","RSM00028900",1991-01-13,-69
"379","RSM00028900",1991-01-14,-25
"380","RSM00028900",1991-01-15,-148
"381","RSM00028900",1991-01-16,-194
"382","RSM00028900",1991-01-17,-147
"383","RSM00028900",1991-01-18,-57
"384","RSM00028900",1991-01-19,-37
"385","RSM00028900",1991-01-20,-42
"386","RSM00028900",1991-01-21,-31
"387","RSM00028900",1991-01-22,-39
"388","RSM00028900",1991-01-23,-53
"389","RSM00028900",1991-01-24,-39
"390","RSM00028900",1991-01-25,-81
"391","RSM00028900",1991-01-26,-107
"392","RSM00028900",1991-01-27,-141
"393","RSM00028900",1991-01-28,-262
"394","RSM00028900",1991-01-29,-226
"395","RSM00028900",1991-01-30,-214
"396","RSM00028900",1991-01-31,-185
"397","RSM00028900",1991-02-01,-109
"398","RSM00028900",1991-02-02,-84
"399","RSM00028900",1991-02-03,-111
"400","RSM00028900",1991-02-04,-121
"401","RSM00028900",1991-02-05,-142
"402","RSM00028900",1991-02-06,-37
"403","RSM00028900",1991-02-07,-86
"404","RSM00028900",1991-02-08,-131
"405","RSM00028900",1991-02-09,-164
"406","RSM00028900",1991-02-10,-143
"407","RSM00028900",1991-02-11,-128
"408","RSM00028900",1991-02-12,-159
"409","RSM00028900",1991-02-13,-154
"410","RSM00028900",1991-02-14,-148
"411","RSM00028900",1991-02-15,-168
"412","RSM00028900",1991-02-16,-126
"413","RSM00028900",1991-02-17,-105
"414","RSM00028900",1991-02-18,-49
"415","RSM00028900",1991-02-19,-54
"416","RSM00028900",1991-02-20,-98
"417","RSM00028900",1991-02-21,-103
"418","RSM00028900",1991-02-22,-29
"419","RSM00028900",1991-02-23,-31
"420","RSM00028900",1991-02-24,-72
"421","RSM00028900",1991-02-25,-50
"422","RSM00028900",1991-02-26,-34
"423","RSM00028900",1991-02-27,-67
"424","RSM00028900",1991-02-28,-23
"425","RSM00028900",1991-03-01,-37
"426","RSM00028900",1991-03-02,-103
"427","RSM00028900",1991-03-03,-63
"428","RSM00028900",1991-03-04,-75
"429","RSM00028900",1991-03-05,-124
"430","RSM00028900",1991-03-06,-136
"431","RSM00028900",1991-03-07,-123
"432","RSM00028900",1991-03-08,-103
"433","RSM00028900",1991-03-09,-108
"434","RSM00028900",1991-03-10,-105
"435","RSM00028900",1991-03-11,-67
"436","RSM00028900",1991-03-12,-49
"437","RSM00028900",1991-03-13,-38
"438","RSM00028900",1991-03-14,-27
"439","RSM00028900",1991-03-15,-31
"440","RSM00028900",1991-03-16,-51
"441","RSM00028900",1991-03-17,-19
"442","RSM00028900",1991-03-18,-49
"443","RSM00028900",1991-03-19,-43
"444","RSM00028900",1991-03-20,-72
"445","RSM00028900",1991-03-21,-15
"446","RSM00028900",1991-03-22,-8
"447","RSM00028900",1991-03-23,9
"448","RSM00028900",1991-03-24,14
"449","RSM00028900",1991-03-25,17
"450","RSM00028900",1991-03-26,9
"451","RSM00028900",1991-03-27,7
"452","RSM00028900",1991-03-28,-5
"453","RSM00028900",1991-03-29,-7
"454","RSM00028900",1991-03-30,-2
"455","RSM00028900",1991-03-31,5
"456","RSM00028900",1991-04-01,2
"457","RSM00028900",1991-04-02,10
"458","RSM00028900",1991-04-03,19
"459","RSM00028900",1991-04-04,11
"460","RSM00028900",1991-04-05,32
"461","RSM00028900",1991-04-06,57
"462","RSM00028900",1991-04-07,74
"463","RSM00028900",1991-04-08,70
"464","RSM00028900",1991-04-09,70
"465","RSM00028900",1991-04-10,82
"466","RSM00028900",1991-04-11,90
"467","RSM00028900",1991-04-12,99
"468","RSM00028900",1991-04-13,104
"469","RSM00028900",1991-04-14,110
"470","RSM00028900",1991-04-15,114
"471","RSM00028900",1991-04-16,107
"472","RSM00028900",1991-04-17,124
"473","RSM00028900",1991-04-18,117
"474","RSM00028900",1991-04-19,137
"475","RSM00028900",1991-04-20,152
"476","RSM00028900",1991-04-21,143
"477","RSM00028900",1991-04-22,140
"478","RSM00028900",1991-04-23,145
"479","RSM00028900",1991-04-24,63
"480","RSM00028900",1991-04-25,92
"481","RSM00028900",1991-04-26,180
"482","RSM00028900",1991-04-27,170
"483","RSM00028900",1991-04-28,92
"484","RSM00028900",1991-04-29,107
"485","RSM00028900",1991-04-30,141
"486","RSM00028900",1991-05-01,142
"487","RSM00028900",1991-05-02,139
"488","RSM00028900",1991-05-03,120
"489","RSM00028900",1991-05-04,139
"490","RSM00028900",1991-05-05,146
"491","RSM00028900",1991-05-06,163
"492","RSM00028900",1991-05-07,191
"493","RSM00028900",1991-05-08,169
"494","RSM00028900",1991-05-09,151
"495","RSM00028900",1991-05-10,171
"496","RSM00028900",1991-05-11,18
"497","RSM00028900",1991-05-12,28
"498","RSM00028900",1991-05-13,58
"499","RSM00028900",1991-05-14,106
"500","RSM00028900",1991-05-15,138
"501","RSM00028900",1991-05-16,127
"502","RSM00028900",1991-05-17,146
"503","RSM00028900",1991-05-18,170
"504","RSM00028900",1991-05-19,193
"505","RSM00028900",1991-05-20,211
"506","RSM00028900",1991-05-21,222
"507","RSM00028900",1991-05-22,230
"508","RSM00028900",1991-05-23,217
"509","RSM00028900",1991-05-24,191
"510","RSM00028900",1991-05-25,202
"511","RSM00028900",1991-05-26,220
"512","RSM00028900",1991-05-27,199
"513","RSM00028900",1991-05-28,223
"514","RSM00028900",1991-05-29,229
"515","RSM00028900",1991-05-30,228
"516","RSM00028900",1991-05-31,204
"517","RSM00028900",1991-06-01,138
"518","RSM00028900",1991-06-02,153
"519","RSM00028900",1991-06-03,175
"520","RSM00028900",1991-06-04,182
"521","RSM00028900",1991-06-05,164
"522","RSM00028900",1991-06-06,167
"523","RSM00028900",1991-06-07,180
"524","RSM00028900",1991-06-08,177
"525","RSM00028900",1991-06-09,180
"526","RSM00028900",1991-06-10,185
"527","RSM00028900",1991-06-11,205
"528","RSM00028900",1991-06-12,220
"529","RSM00028900",1991-06-13,226
"530","RSM00028900",1991-06-14,208
"531","RSM00028900",1991-06-15,177
"532","RSM00028900",1991-06-16,209
"533","RSM00028900",1991-06-17,200
"534","RSM00028900",1991-06-18,229
"535","RSM00028900",1991-06-19,231
"536","RSM00028900",1991-06-20,234
"537","RSM00028900",1991-06-21,221
"538","RSM00028900",1991-06-22,232
"539","RSM00028900",1991-06-23,254
"540","RSM00028900",1991-06-24,270
"541","RSM00028900",1991-06-25,276
"542","RSM00028900",1991-06-26,271
"543","RSM00028900",1991-06-27,287
"544","RSM00028900",1991-06-28,295
"545","RSM00028900",1991-06-29,296
"546","RSM00028900",1991-06-30,308
"547","RSM00028900",1991-07-01,290
"548","RSM00028900",1991-07-02,279
"549","RSM00028900",1991-07-03,283
"550","RSM00028900",1991-07-04,261
"551","RSM00028900",1991-07-05,201
"552","RSM00028900",1991-07-06,190
"553","RSM00028900",1991-07-07,190
"554","RSM00028900",1991-07-08,185
"555","RSM00028900",1991-07-09,184
"556","RSM00028900",1991-07-10,156
"557","RSM00028900",1991-07-11,130
"558","RSM00028900",1991-07-12,191
"559","RSM00028900",1991-07-13,198
"560","RSM00028900",1991-07-14,201
"561","RSM00028900",1991-07-15,197
"562","RSM00028900",1991-07-16,212
"563","RSM00028900",1991-07-17,203
"564","RSM00028900",1991-07-18,199
"565","RSM00028900",1991-07-19,214
"566","RSM00028900",1991-07-20,233
"567","RSM00028900",1991-07-21,253
"568","RSM00028900",1991-07-22,246
"569","RSM00028900",1991-07-23,257
